商品,指导零售价,批发价,订单量,金额,订单日期,订单编号,来源文件
七匹狼(银中支),230.0,201.4,1.0,201.4,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(银中支),230.0,201.4,1.0,201.4,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(银中支),230.0,201.4,1.0,201.4,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(银中支),230.0,201.4,1.0,201.4,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(银中支),230.0,201.4,1.0,201.4,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(银中支),230.0,201.4,1.0,201.4,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(锋芒),180.0,158.0,1.0,158.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(锋芒),180.0,158.0,1.0,158.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(锋芒),180.0,158.0,1.0,158.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(锋芒),180.0,158.0,1.0,158.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(锋芒),180.0,158.0,1.0,158.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
七匹狼(锋芒),180.0,158.0,1.0,158.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(双中支),500.0,424.0,1.0,424.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(双中支),500.0,424.0,1.0,424.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(双中支),500.0,424.0,1.0,424.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(双中支),500.0,424.0,1.0,424.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(双中支),500.0,424.0,1.0,424.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(双中支),500.0,424.0,1.0,424.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(软),700.0,583.0,1.0,583.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(软),700.0,583.0,1.0,583.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(软),700.0,583.0,1.0,583.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(软),700.0,583.0,1.0,583.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(软),700.0,583.0,1.0,583.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
中华(软),700.0,583.0,1.0,583.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支云龙),200.0,175.0,1.0,175.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支云龙),200.0,175.0,1.0,175.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支云龙),200.0,175.0,1.0,175.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支云龙),200.0,175.0,1.0,175.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支云龙),200.0,175.0,1.0,175.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支云龙),200.0,175.0,1.0,175.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支大重九),1000.0,848.0,3.0,2544.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支大重九),1000.0,848.0,3.0,2544.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支大重九),1000.0,848.0,3.0,2544.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支大重九),1000.0,848.0,3.0,2544.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支大重九),1000.0,848.0,3.0,2544.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(中支大重九),1000.0,848.0,3.0,2544.0,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(印象),650.0,561.8,1.0,561.8,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(印象),650.0,561.8,1.0,561.8,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(印象),650.0,561.8,1.0,561.8,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
云烟(印象),650.0,561.8,1.0,561.8,2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx
