商品名称,建议零售价,批发价,当期找货价格,盒码,条码
555(冰炫),240,216.05,,8888075024020,8888075024037
555(冰炫),240,216.05,230.0,,8888075024020
555(双冰),320,271.07,,8888075018609,8888075018616
555(双冰),320,271.07,265.0,,8888075018609
七匹狼(纯境),160,143.1,,6901028211345,6901028211352
七匹狼(纯境),160,143.1,178.0,,6901028211345
七匹狼(银中支),230,201.4,,,6901028209106
七匹狼(银中支),230,201.4,195.0,,6901028209113
七匹狼(锋芒),180,158.0,145.0,,6901028143561
七匹狼(锋芒),180,158.0,,6901028143561,6901028143554
万宝路(硬冰爵2.0）,260,225.0,210.0,,6901028204019
万宝路(硬冰爵2.0）,260,225.0,,6901028204019,6901028204026
万宝路(软红2.0),160,143.1,,6901028143431,6901028143448
万宝路(软红2.0),160,143.1,165.0,,6901028143431
三沙(细支),260,225.0,,6901028020213,6901028020091
三沙(细支),260,225.0,205.0,,6901028020213
中华(双中支),500,424.0,,6901028018715,6901028018722
中华(双中支),500,424.0,433.0,,6901028018715
中华(硬),450,381.6,365.0,,6901028075763
中华(硬),450,381.6,,6901028075763,6901028075015
中华(细支),500,424.0,,6901028212212,6901028212229
中华(细支),500,424.0,420.0,,6901028212212
中华(细支3mg),1000,848.0,1300.0,,6901028212649
中华(细支6mg),600,510.0,510.0,,6901028212878
中华(细支6mg),600,510.0,,6901028212878,6901028212885
中华(软),700,583.0,,6901028075770,6901028075022
中华(软),700,583.0,550.0,,6901028075770
中华(金中支),1000,678.4,680.0,,6901028018623
中华(金中支),1000,678.4,,6901028018623,6901028018630
中华(金双中),600,510.0,505.0,,6901028212755
中华(金双中),600,510.0,,6901028212755,6901028212762
中华(金细支),800,678.4,650.0,,6901028212120
中华(金细支),800,678.4,,6901028212120,6901028212137
中南海(冰耀中支),230,201.4,207.0,,6901028010764
中南海(冰耀中支),230,201.4,,6901028010764,6901028010771
丹纳曼(圣安东尼奥罗布图),2200,1525.1,2200.0,,7898368940785
云烟(9+1大重九),800,720.8,725.0,,6901028311922
云烟(中支云龙),200,175.0,,6901028318549,6901028318556
云烟(中支云龙),200,175.0,168.0,,6901028318549
云烟(中支大重九),1000,848.0,,6901028340694,6901028340700
云烟(中支大重九),1000,848.0,820.0,,6901028340694
云烟(中支小重九),500,424.0,400.0,,6901028333719
云烟(中支小重九),500,424.0,,6901028333719,6901028333726
云烟(中支福),300,263.0,253.0,,6901028333085
云烟(中支金腰带),300,263.0,,6901028340663,6901028340670
云烟(中支金腰带),300,263.0,246.0,,6901028340663
云烟(印象),650,561.8,550.0,,6901028310437
云烟(印象),650,561.8,,6901028310437,6901028310444
云烟(印象烟庄),450,360.4,,6901028051606,6901028051613
云烟(印象烟庄),450,360.4,350.0,,6901028051606
云烟(小熊猫家园),200,158.0,,6901028340601,6901028340618
云烟(小熊猫家园),200,158.0,154.0,,6901028340601
云烟(流金印象细支),450,381.6,365.0,,6901028333269
云烟(流金印象细支),450,381.6,,6901028333269,6901028333276
云烟(硬云龙),150,129.3,,6901028339889,6901028339896
云烟(硬云龙),150,129.3,121.0,,6901028339889
云烟(硬苁蓉),130,114.5,110.0,,6901028177146
云烟(硬苁蓉),130,114.5,,6901028177146,6901028177153
云烟(神秘花园),320,275.6,300.0,,6901028319027
云烟(神秘花园),320,275.6,,6901028319027,6901028319034
云烟(福),120,107.06,121.0,,6901028310970
云烟(福),120,107.06,,6901028310970,6901028310987
云烟(紫),130,114.5,117.5,,6901028046886
云烟(紫),130,114.5,,6901028046886,6901028046893
云烟(细支云龙),150,129.3,124.0,,6901028339940
云烟(细支云龙),150,129.3,,6901028339940,6901028339957
云烟(细支大重九),1000,848.0,815.0,,6901028312349
云烟(细支大重九),1000,848.0,,6901028312349,6901028312356
云烟(细支小重九),500,424.0,415.0,,6901028318907
云烟(细支小重九),500,424.0,,6901028318907,6901028318914
云烟(细支灵感蘑菇),260,225.0,,,6901028318938
云烟(细支灵感蘑菇),260,225.0,230.0,,6901028318945
云烟(细支珍品),260,225.0,,6901028339520,6901028339537
云烟(细支珍品),260,225.0,203.0,,6901028339520
云烟(细支筋斗云),350,300.0,305.0,,6901028318990
云烟(细支筋斗云),350,300.0,,6901028318990,6901028319003
云烟(细支醇萃),300,263.0,340.0,,6901028319096
云烟(细支醇萃),300,263.0,,,6901028319089
云烟(软印象烟庄),370,318.0,,6901028051156,6901028051163
云烟(软印象烟庄),370,318.0,303.0,,6901028051156
云烟(软大重九),1000,720.8,690.0,,6901028051996
云烟(软大重九),1000,720.8,,6901028051996,6901028051989
云烟(软如意),120,93.28,105.0,,6901028310611
云烟(软珍品),230,206.7,200.0,,6901028045902
云烟(软珍品),230,206.7,,6901028045902,6901028045919
云烟(软礼印象),800,720.8,720.0,,6901028310826
