类型,分组,商品编码,商品名称,三十档,二十九档,二十八档,二十七档,二十六档
汇总,总计,,可订货量合计,104,99,92,81,81
汇总,总计,,投放量,166,161,155,138,139
分段上限,8-9段,,价位段总量上限,25,25,25,23,22
分段上限,10段,,价位段总量上限,4,4,4,3,3
分段上限,11段,,价位段总量上限,5,5,5,4,4
分段上限,12段,,价位段总量上限,32,32,32,28,28
分段上限,13段,,价位段总量上限,13,13,12,12,12
分段上限,14-15段,,价位段总量上限,3,3,3,3,3
商品,8-9段,0143,云烟(软珍品),19,19,19,17,17
商品,8-9段,0234,玉溪(软),9,9,9,8,8
商品,8-9段,0266,玉溪(软尚善),9,9,9,8,8
商品,8-9段,0336,云烟(细支苁蓉),9,9,9,8,8
商品,8-9段,1309,芙蓉王(硬),9,9,9,8,8
商品,8-9段,2188,贵烟(跨越),3,3,3,3,3
商品,8-9段,2914,利群(长嘴),1,1,1,1,1
商品,10段,0345,云烟(小熊猫家园),4,4,4,3,3
商品,10段,0458,玉溪(华叶中支),1,1,1,1,1
商品,10段,2588,泰山(颜悦),1,1,1,1,1
商品,10段,3766,黄金叶(商鼎),1,1,1,1,1
商品,11段,2146,爱喜,1,1,1,1,1
商品,11段,2491,泰山(心悦),2,2,2,1,1
商品,11段,2910,利群(新版),3,3,3,2,2
商品,11段,3027,南京(炫赫门),1,1,1,1,1
商品,12段,0153,云烟(福),23,23,23,20,20
商品,12段,0305,红河(星99),6,6,6,6,6
商品,12段,0307,红河(软99),2,2,2,2,2
商品,12段,0338,云烟(硬云龙),8,8,8,7,7
商品,12段,0339,云烟(细支云龙),8,8,8,7,7
商品,12段,1262,娇子(福满园支),1,1,1,1,1
商品,12段,1649,春云(爱之恋),1,1,1,1,1
商品,12段,2185,贵烟(硬黄精品),1,1,1,1,1
商品,13段,0186,云烟(紫),2,2,2,2,2
商品,13段,0262,红塔山(传奇经典),5,5,5,5,5
商品,13段,0268,红河(硬运走天100),2,2,2,2,2
商品,13段,0304,红河(硬88),4,4,4,4,4
商品,13段,0930,威斯(小熊猫),3,3,3,3,3
商品,13段,1206,娇子(X),1,1,1,1,1
商品,14-15段,0302,钻石(玫瑰二代),2,2,2,2,2
商品,14-15段,2627,白沙(大丰),1,1,1,1,1
商品,14-15段,2728,红旗渠(雪茄),1,1,1,1,1
商品,按档位投放,0184,云烟(软包),1,1,1,1,1
商品,按档位投放,0198,云烟(软大重九),1,1,0,0,0
商品,按档位投放,0256,玉溪(硬和谐),2,2,2,2,2
商品,按档位投放,0343,云烟(中支金腰带),2,2,1,1,1
商品,按档位投放,0351,云烟(中支小重九),1,1,1,1,1
商品,按档位投放,0352,云烟(流金印象细支),2,2,1,0,0
商品,按档位投放,0356,云烟(中支云龙),1,1,1,1,1
商品,按档位投放,0358,云烟(细支灵感蘑菇),1,0,0,0,0
商品,按档位投放,0492,玉溪(创客豪华版),1,1,1,0,0
商品,按档位投放,0493,玉溪(创客),0,0,0,0,1
商品,按档位投放,1104,牡丹(软),2,1,1,1,1
商品,按档位投放,1136,中华(双中支),1,1,1,1,1
商品,按档位投放,1149,中华(金双中),1,1,0,0,0
商品,按档位投放,1150,牡丹(玄华双中),1,0,0,0,0
商品,按档位投放,1276,娇子(宽窄锦上细支),0,0,0,0,0
商品,按档位投放,2811,中南海(冰耀中支),1,1,0,0,0
商品,按档位投放,2943,利群(春天),1,1,1,0,0
商品,按档位投放,2967,利群(日光细支),1,1,0,0,0
