订单日期,订单编号,来源文件,order_qty,order_amount
2026-01-01,XQJ10000000026109147,订单明细20260329030703.xlsx,171.0,39921.24
2026-01-05,XQJ10000000026133353,订单明细20260329030633.xlsx,202.0,52527.31
2026-01-12,XQJ10000000026157169,订单明细20260329030629.xlsx,208.0,56632.58
2026-01-19,XQJ10000000026180736,订单明细20260329030624.xlsx,233.0,67125.38
2026-01-26,XQJ10000000026204380,订单明细20260329030617.xlsx,224.0,70039.54
2026-02-02,XQJ10000000026227973,订单明细20260329030609.xlsx,188.0,57602.32
2026-02-09,XQJ10000000026251755,订单明细20260329030548.xlsx,145.0,39599.56
2026-02-23,XQJ10000000026275425,订单明细20260329030454.xlsx,100.0,17457.98
2026-03-02,XQJ10000000026298912,订单明细20260329030446.xlsx,120.0,31302.98
2026-03-09,XQJ10000000026322528,订单明细20260329030442.xlsx,121.0,27171.82
2026-03-16,XQJ10000000026346142,订单明细20260329030437.xlsx,107.0,20563.0
2026-03-23,XQJ10000000026369701,订单明细20260329030433.xlsx,106.0,19249.66
