商品,指导零售价,批发价,行情价
555 金,160.0,137.8,
555 金.锐,160.0,137.8,
555(冰炫),240.0,216.05,235.0
555(双冰),320.0,271.07,270.0
6mg中南海,60.0,56.5,
84硬盒宏声（时尚）,50.0,45.0,
84硬盒骄子,190.0,178.0,
e云烟（14支金）,240.0,228.58,
七匹狼(古田金中支),500.0,424.0,
七匹狼(纯境),160.0,143.1,183.0
七匹狼(观海中支),300.0,263.0,
七匹狼(银中支),230.0,201.4,195.0
七匹狼(锋芒),180.0,158.0,
万宝路(硬冰爵2.0）,260.0,225.0,202.0
万宝路(硬红2.0),200.0,175.0,
万宝路(硬金3.0）,230.0,201.4,
万宝路(软红2.0),160.0,143.1,165.0
三沙(细支),240.0,225.0,
上游（硬红）,33.0,30.0,
中华(双中支),500.0,424.0,445.0
中华(硬),400.0,381.6,
中华(细支),500.0,424.0,415.0
中华(细支3mg),1000.0,848.0,1300.0
中华(细支6mg),600.0,510.0,510.0
中华(软),700.0,583.0,540.0
中华(金中支),1000.0,678.4,725.0
中华(金双中),600.0,510.0,530.0
中华(金细支),800.0,678.4,650.0
中华（大礼）,583.66,529.18,
中南海(冰耀中支),230.0,201.4,205.0
丹纳曼(圣安东尼奥罗布图),2200.0,1525.1,2200.0
丹纳曼玛塔菲纳多罗,2350.0,1557.2,
丹纳曼（典藏精选金筒）,400.0,271.25,
云烟(9+1大重九),750.0,720.8,
云烟(中支云龙),200.0,175.0,175.0
云烟(中支大重九),1000.0,848.0,828.0
云烟(中支小重九),500.0,424.0,415.0
云烟(中支福),290.0,263.0,
云烟(中支金腰带),300.0,263.0,250.0
云烟(印象),580.0,561.8,
云烟(印象烟庄),380.0,360.4,
云烟(小熊猫家园),200.0,158.0,151.0
云烟(流金印象细支),450.0,381.6,370.0
云烟(硬云龙),150.0,129.3,120.0
云烟(硬苁蓉),130.0,114.5,
云烟(神秘花园),320.0,275.6,320.0
云烟(福),120.0,107.06,117.0
云烟(紫),130.0,114.5,117.0
云烟(细支云龙),150.0,129.3,123.0
云烟(细支大重九),1000.0,848.0,818.0
云烟(细支小重九),500.0,424.0,424.0
云烟(细支灵感蘑菇),260.0,225.0,260.0
云烟(细支珍品),260.0,225.0,202.0
云烟(细支筋斗云),350.0,300.0,320.0
云烟(软印象烟庄),370.0,318.0,302.0
云烟(软大重九),1000.0,720.8,702.0
云烟(软如意),110.0,93.28,
云烟(软珍品),230.0,206.7,202.5
云烟(软礼印象),800.0,720.8,720.0
云烟(黑金刚印象),560.0,466.4,455.0
云烟E时代银（14支）,240.0,228.58,
云烟硬金牌特醇,105.0,92.0,
云烟（金e时代20支）,180.0,160.0,
五一（国际）,100.0,88.0,
人民大会堂(盛京中支),200.0,175.0,
人民大会堂(硬红细支),160.0,139.92,145.0
人民大会堂(红细支),260.0,225.0,185.0
优民(美冠银管),3625.0,2566.25,
全家福,50.0,47.0,
兰州(硬珍品),180.0,155.0,155.0
兰州(黑中支),300.0,263.0,280.0
关塔那摩.水晶美管（5支）,200.0,150.65,
关塔那摩.良朋（5支）,140.0,105.0,
关塔那摩（水晶美管）,1000.0,753.25,
冬虫夏草(双中支),350.0,339.2,
冬虫夏草(和润),600.0,424.0,380.0
利群(休闲细支),1000.0,848.0,848.0
利群(新版),160.0,143.1,172.0
利群(楼外楼),220.0,175.0,
利群(江南韵),260.0,225.0,230.0
利群(西子阳光),310.0,275.6,270.0
利群(软蓝),180.0,159.0,165.0
利群(软长嘴),360.0,318.0,309.0
利群(长嘴),220.0,190.8,190.0
利群(阳光尊中支),400.0,339.2,340.0
利群(阳光细支),400.0,339.2,340.0
南京(十二钗烤烟),250.0,243.8,
南京(十二钗薄荷),220.0,188.68,190.0
南京(大观园爆冰),300.0,263.0,250.0
南京(梦都),200.0,175.0,172.0
南京(炫赫门),180.0,155.0,192.0
南京(细支九五),1000.0,678.4,685.0
南京(软九五),1000.0,720.8,715.0
南京(雨花石),530.0,455.8,440.0
双喜(勿忘我),200.0,175.0,168.0
双喜(春天˙咖路里),260.0,225.0,205.0
双喜(春天白月光),300.0,263.0,260.0
双喜(硬经典1906),170.0,150.52,149.0
双喜(花悦),150.0,139.92,
双喜（红邮喜）,300.0,263.0,
哈德门(纯香),75.0,47.7,
国宾(仿皮盒1),1000.0,25.0,
国宾(仿皮盒2),1000.0,25.0,
国宾硬世纪10支,1000.0,250.0,
国宾硬世纪20支,1000.0,250.0,
塑盒时代云烟,700.0,600.0,
大丰收（硬）,25.0,22.5,
大丰收（软）,25.0,19.08,
大华(硬大时代),170.0,143.1,
大华(硬开元),280.0,245.0,200.0
大卫杜夫(埃斯库里奥罗伯斯特托保斯),4000.0,2919.4,
大卫杜夫(尼加拉瓜罗伯斯特托保斯),4000.0,2988.6,
大卫杜夫(温斯顿丘吉尔艺术家),130.0,2138.25,
大卫杜夫(经典2号),4750.0,3310.75,4750.0
大卫杜夫(至暗时刻罗伯斯特),7000.0,4959.0,7000.0
大青山(长丰),70.0,61.5,
天下秀（特醇）,30.0,27.0,
天子(中支),250.0,201.4,185.0
天子(千里江山细支),300.0,263.0,
天子(硬珍品龙凤呈祥),210.0,180.2,165.0
天子(金),200.0,167.48,160.0
好猫(细支长乐),160.0,139.92,143.0
好猫(金猴王),55.0,71.0,
好猫(长乐九美),200.0,175.0,170.0
威斯(小熊猫),100.0,88.0,110.0
娇子(X),110.0,97.0,102.0
娇子(宽窄好运),263.0,263.0,
娇子(宽窄锦上细支),300.0,263.0,270.0
娇子(格调中支),200.0,175.0,
娇子(格调细支),150.0,129.3,129.0
娇子(蓝时代),60.0,61.5,
娇子（阳光）,82.0,80.0,
寂静(红点系列白色罗布图),5200.0,3619.8,5200.0
寂静(红点系列罗步图),3750.0,2681.75,3750.0
富恩特(唐·卡洛斯罗布图),7375.0,5900.0,7375.0
富恩特(海明威短篇小说),6375.0,5100.0,6375.0
富恩特(热带雨林),3750.0,2896.5,3750.0
富恩特(玛瑙56),7375.0,5900.0,7375.0
富恩特(珍藏858),1950.0,1549.3,1950.0
将军(大力神),400.0,260.0,260.0
将军(战神),230.0,161.0,161.0
将军(战神荣耀),1000.0,720.0,720.0
将军（战神3号）,500.0,390.0,
将军（战神4号）,160.0,169.0,
将军（雪茄2号）,1320.0,1020.0,
小熊猫(铁盒10支),200.0,19.0,
小熊猫塑盒精品100支,260.0,220.0,
小熊猫铁盒精品10支,200.0,190.0,
小熊猫铁盒精品20支,110.0,110.0,
工字(红),110.0,86.0,70.0
帕特加(喜维亚四号),6750.0,4784.0,6750.0
帕特加(尖顶二号),9500.0,5678.0,
彼亚赛.小赛（25支）,750.0,339.75,
泰山(3G水蜜桃二代),180.0,136.2,110.0
泰山(儒风细支),300.0,263.0,242.0
泰山(巅峰5号),3000.0,1800.0,3000.0
泰山(巴哈马),260.0,196.0,115.0
泰山(心悦）,160.0,139.92,140.0
泰山(战神2号),1440.0,864.0,1440.0
泰山(战神5号),400.0,260.0,260.0
泰山(战神6号),1440.0,864.0,1440.0
泰山(战神白金),1600.0,960.0,1600.0
泰山(战神黑金),2400.0,1440.0,2400.0
泰山(硬红八喜),65.0,57.24,69.5
泰山(茉莉香韵),500.0,424.0,415.0
泰山(超级战神),1500.0,900.0,1500.0
泰山(都市丛林),2000.0,1200.0,2000.0
泰山(颜悦),200.0,167.48,160.0
泰山都市丛林,1500.0,1200.0,
泰山（巅峰6号）,400.0,540.0,
潮牌(冠军),1600.0,1091.7,1600.0
激情时代美登,50.0,45.0,
熊猫(典藏中支),1200.0,1000.0,1300.0
熊猫(硬经典),1000.0,848.0,830.0
熊猫(经典细支),1000.0,848.0,1000.0
爱喜幻变,240.0,207.97,230.0
爱喜薄荷,220.0,196.24,225.0
牡丹(玄华双中),400.0,339.2,365.0
牡丹(红中支),200.0,175.0,215.0
牡丹(蓝中支),300.0,263.0,268.0
牡丹(蓝彩细支),300.0,263.0,250.0
牡丹(软),140.0,121.9,170.0
特制吉庆福,22.0,19.0,
狮牌(加勒比阳光),600.0,452.0,452.0
狮牌（迷你3号）,300.0,250.0,
猴王（金特制）,70.0,63.0,
玉溪(中支和谐),350.0,339.2,
玉溪(中支境界),540.0,510.0,
玉溪(中支钓鱼台),500.0,424.0,
玉溪(创客),200.0,175.0,230.0
玉溪(初心),185.0,175.0,
玉溪(双中支翡翠),1000.0,848.0,
玉溪(合顺),300.0,263.0,230.0
玉溪(硬和谐),400.0,339.2,322.0
玉溪(细支),270.0,263.0,
玉溪(细支108),280.0,263.0,
玉溪(细支缤果爆),260.0,225.0,290.0
玉溪(细支翡翠),800.0,678.4,670.0
玉溪(软),230.0,201.4,193.0
玉溪(软初心),200.0,175.0,170.0
玉溪(软境界),700.0,678.4,
玉溪(软尚善),280.0,243.8,222.0
玉溪(软阿诗玛),200.0,175.0,170.0
玉溪(鑫中支),230.0,225.0,
玉溪(高配版),220.0,201.4,
玉溪细支翡翠条,800.0,678.4,
玉溪（铁合）,483.34,466.66,
王冠(10支全叶卷),500.0,400.0,
王冠(20支),300.0,230.0,230.0
王冠(假日·黄金海岸),540.0,420.0,420.0
王冠(假日阳光),200.0,144.0,
王冠(冰咖MIX),400.0,304.0,304.0
王冠(原味1号),60.0,46.0,35.0
王冠(原味9号),150.0,120.0,100.0
王冠(原味9号塑嘴),50.0,60.0,
王冠(古建三绝),500.0,400.0,
王冠(国粹),1500.0,1080.0,
王冠(国粹满堂彩),500.0,340.0,
王冠(塑2支全叶卷),130.0,100.0,100.0
王冠(奶香10支),300.0,224.0,
王冠(小国粹),750.0,567.5,567.5
王冠(智者010五支),1500.0,1000.0,
王冠(智者010十支),2000.0,1400.0,
王冠(梅兰竹菊),800.0,576.0,576.0
王冠(经典8号),200.0,140.0,
王冠(经典铝2支全叶卷),350.0,262.0,262.0
王冠(茶香之茶马古道),950.0,480.0,480.0
王冠(蓝色假日),1000.0,755.0,755.0
王冠假日船长110S,240.0,168.0,
王冠国粹140S木盒,1500.0,1080.0,
王冠浪漫假日,900.0,620.0,
王冠蓝色假日5支110S包硬盒,180.0,135.0,
王冠（经典5号）150S硬盒,150.0,113.0,
白沙(和天下),1000.0,848.0,830.0
白沙(和天下尊品中支),1200.0,1000.0,1200.0
白沙(和天下尊品细支),1000.0,848.0,1080.0
白沙(硬),80.0,71.0,
白沙(硬和天下双中支),900.0,763.2,755.0
白沙(硬天天向上细支),160.0,129.3,150.0
白沙(硬精品三代),140.0,129.3,
白沙(硬细支和天下),1000.0,720.8,715.0
白沙(软和天下),1000.0,720.8,710.0
白沙(长丰),70.0,61.5,62.0
盖8mg威斯,100.0,90.0,
盖三塔,33.0,31.5,
盖大重九,30.0,27.0,
盖威斯,100.0,90.0,
盖时尚好猫,85.0,74.2,
盖特制珍品国色天香,70.0,60.0,
盖高级红龙泉,62.0,55.0,
真龙(凌云),150.0,121.9,146.0
真龙(海韵),500.0,445.2,
真龙(美人香草),200.0,167.48,168.0
真龙(起源),230.0,212.0,
石林硬精品红,72.0,70.0,
硬盒芙蓉王（亚金）,120.0,100.0,
硬盒超特醇七星,130.0,120.0,
福牌（特制精品）,105.0,100.0,
紫微吉星美登,72.0,72.0,
红双喜(硬),30.0,23.85,
红塔山(双享),400.0,339.2,
红塔山(硬恭贺新禧),150.0,121.9,116.0
红塔山(硬新势力),125.0,93.28,
红塔山(硬经典),90.0,75.0,91.0
红塔山(硬经典100),110.0,97.0,104.0
红塔山(细支传奇),180.0,155.0,148.0
红塔山（铁合）,266.66,250.0,
红旗渠(芒果),70.0,71.0,
红旗渠(雪茄),50.0,44.5,73.5
红河(硬88),120.0,97.0,131.5
红河(硬99),140.0,121.9,116.0
红河(软99),130.0,114.48,108.0
红河(软甲),65.0,57.2,78.5
红河(道),760.0,720.8,
红玫（软）,25.0,20.99,
红金龙（软金蝶）,25.0,19.08,
