分组,商品名称,订购量
8-9段,玉溪(软尚善),9
8-9段,云烟(细支珍品),9
8-9段,贵烟(跨越),0
8-9段,芙蓉王(硬),6
8-9段,云烟(软珍品),0
8-9段,玉溪(软),0
8-9段,利群(长嘴),1
10段,泰山(颜悦),1
10段,黄金叶(商鼎),1
10段,云烟(小熊猫家园),1
10段,玉溪(软阿诗玛),1
11段,南京(炫赫门),1
11段,利群(新版),3
11段,贵烟(喜),1
11段,泰山(心悦),0
12段,娇子(格调细支),1
12段,真龙(凌云),1
12段,云烟(细支云龙),8
12段,云烟(硬云龙),8
12段,贵烟(硬黄精品),1
12段,红河(硬99),6
12段,云烟(紫),7
12段,红河(软99),0
13段,红河(硬88),4
13段,云烟(福),2
13段,红塔山(硬经典100),2
13段,娇子(X),1
13段,威斯(小熊猫),3
13段,红塔山(硬经典),1
14-15段,白沙(长丰),1
14-15段,红河(软甲),2
14-15段,红旗渠(雪茄),0
按档位投放,云烟(软大重九),1
按档位投放,中华(金双中),1
按档位投放,中华(双中支),1
按档位投放,云烟(中支小重九),1
按档位投放,云烟(流金印象细支),2
按档位投放,玉溪(硬和谐),2
按档位投放,利群(阳光细支),1
按档位投放,牡丹(玄华双中),1
按档位投放,云烟(软印象烟庄),1
按档位投放,利群(软长嘴),1
按档位投放,云烟(中支金腰带),2
按档位投放,娇子(宽窄锦上细支),1
按档位投放,金桥(炫影细支),1
按档位投放,玉溪(细支缤果爆),1
按档位投放,云烟(细支灵感蘑菇),1
按档位投放,中南海(冰耀中支),1
按档位投放,云烟(中支云龙),1
按档位投放,牡丹(软),2
按档位投放,黄鹤楼(迷你原味),0
